Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,11175,species,Downy Woodpecker,Dryobates pubescens,2,Ventura Settling Ponds,US-CA,07 Sep 2024,L351584,S194686400,,1
2,7640,species,Osprey,Pandion haliaetus,1,Ventura Settling Ponds,US-CA,07 Sep 2024,L351584,S194686400,,1
3,7514,species,Great Blue Heron,Ardea herodias,1,Ventura Settling Ponds,US-CA,07 Sep 2024,L351584,S194686400,,1
4,7364,species,Yellow-crowned Night Heron,Nyctanassa violacea,1,Ventura Settling Ponds,US-CA,07 Sep 2024,L351584,S194686400,,1
5,5428,species,Sora,Porzana carolina,1,Ventura Settling Ponds,US-CA,07 Sep 2024,L351584,S194686400,,1
6,1831,species,Pied-billed Grebe,Podilymbus podiceps,2,Ventura Settling Ponds,US-CA,07 Sep 2024,L351584,S194686400,,1
7,478,species,Gadwall,Mareca strepera,1,Ventura Settling Ponds,US-CA,07 Sep 2024,L351584,S194686400,,1
8,23649,species,Tree Swallow,Tachycineta bicolor,,Lake Los Carneros (water),US-CA,06 Apr 2024,L17395133,S167381635,,1
9,6364,species,Pigeon Guillemot,Cepphus columba,,Monterrey-aquaroum,US-CA,24 Mar 2024,L30062629,S165863055,,1
10,1045,species,California Quail,Callipepla californica,,Campus Beach,US-CA,21 Mar 2024,L17699807,S165478363,,1
11,7373,species,Black-crowned Night Heron,Nycticorax nycticorax,,sb-zoo-natives,US-CA,29 Dec 2023,L28503482,S157442870,,1
12,6543,species,Glaucous-winged Gull,Larus glaucescens,,Alice Keck,US-CA,29 Dec 2023,L28196068,S157427626,,1
13,6539,species,California Gull,Larus californicus,,Alice Keck,US-CA,29 Dec 2023,L28196068,S157427057,,1
14,324,species,Canada Goose,Branta canadensis,,CCBER,US-CA,29 Dec 2023,L17968094,S157452228,,1
15,33499,species,Common Yellowthroat,Geothlypis trichas,,Lake Los Carneros (water),US-CA,28 Dec 2023,L17395133,S157363122,,1
16,712,species,Hooded Merganser,Lophodytes cucullatus,,Alice Keck,US-CA,06 Dec 2023,L28196068,S155862639,,1
17,474,species,Northern Shoveler,Spatula clypeata,,Lake Los Carneros,US-CA,02 Dec 2023,L17394772,S155613421,,1
18,32094,species,Lawrence's Goldfinch,Spinus lawrencei,,Eagle Energy,US-CA,05 Apr 2023,L23404332,S132773790,,1
19,8109,species,Sharp-shinned Hawk,Accipiter striatus,,Tiffany Park,US-CA,21 Jan 2023,L22287785,S126626152,,1
20,32571,species,Fox Sparrow,Passerella iliaca,,Lover's Loop Trail,US-CA,18 Nov 2022,L21568049,S122617463,,1
21,33622,species,Yellow-rumped Warbler,Setophaga coronata,,Willoeglen Park,US-CA,16 Nov 2022,L21553280,S122527389,,1
22,16699,species,Say's Phoebe,Sayornis saya,,NBVC Soccer Field,US-CA,23 Oct 2022,L21334257,S121214280,,1
